,Ward_Precinct,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,HISPANIC,BIPOC,TWO OR MORE RACES,OTHER
141,1508.0,136,17,122,122,59,65,73,45,1,640,356,249,978.0,1083.0,1674.0,0.197,0.551,0.005,0.164,0.191,0.803,0.021,0.062
142,1509.0,148,27,113,132,57,71,92,39,6,685,379,266,1032.0,1246.0,2156.0,0.149,0.527,0.002,0.196,0.178,0.851,0.03,0.096
143,1601.0,160,14,144,150,30,39,114,28,2,681,479,290,1142.0,1145.0,1643.0,0.293,0.311,0.002,0.293,0.13,0.707,0.022,0.079
144,1602.0,142,23,175,137,28,38,151,14,9,717,495,303,872.0,2887.0,4103.0,0.343,0.205,0.003,0.363,0.096,0.657,0.009,0.078
145,1603.0,183,22,181,231,53,69,166,32,2,939,613,388,1462.0,1181.0,1827.0,0.266,0.542,0.0,0.112,0.172,0.734,0.034,0.047
146,1604.0,185,19,167,202,43,61,155,33,2,867,581,362,1293.0,1093.0,1557.0,0.366,0.289,0.001,0.219,0.101,0.633,0.056,0.068
147,1605.0,212,14,241,227,32,52,213,15,4,1010,658,417,1408.0,1390.0,1989.0,0.341,0.253,0.002,0.294,0.101,0.66,0.034,0.076
148,1606.0,295,25,229,321,57,86,245,45,5,1308,796,526,1827.0,1556.0,2168.0,0.436,0.317,0.0,0.12,0.096,0.564,0.075,0.051
149,1607.0,268,44,381,252,37,57,319,26,10,1394,830,556,1239.0,2035.0,2864.0,0.412,0.324,0.0,0.126,0.097,0.588,0.082,0.057
150,1608.0,338,27,356,352,45,76,370,34,5,1603,781,596,1409.0,841.0,1093.0,0.622,0.244,0.0,0.088,0.081,0.378,0.032,0.013
151,1609.0,267,22,489,279,23,45,396,26,2,1549,1131,670,1498.0,896.0,1164.0,0.904,0.026,0.0,0.052,0.007,0.096,0.013,0.002
152,1610.0,222,18,313,208,15,40,267,21,3,1107,661,442,1341.0,1107.0,1365.0,0.824,0.07,0.0,0.081,0.017,0.177,0.019,0.005
153,1611.0,333,27,406,320,33,62,350,33,11,1575,837,603,1466.0,1963.0,2550.0,0.648,0.224,0.0,0.085,0.073,0.352,0.03,0.012
154,1612.0,326,18,566,260,18,46,424,23,2,1683,1109,698,1192.0,1789.0,2326.0,0.904,0.025,0.0,0.052,0.007,0.096,0.013,0.002
155,1701.0,99,14,69,186,24,61,80,20,4,557,507,266,1209.0,1408.0,2308.0,0.147,0.735,0.004,0.029,0.275,0.854,0.03,0.055
156,1702.0,94,8,70,131,49,46,69,13,1,481,355,209,826.0,1003.0,1576.0,0.172,0.632,0.006,0.11,0.211,0.828,0.023,0.056
157,1703.0,251,23,198,379,73,110,200,46,7,1287,865,538,1821.0,1977.0,3129.0,0.182,0.657,0.004,0.078,0.235,0.818,0.024,0.056
158,1704.0,316,26,251,439,52,112,249,38,2,1485,1063,637,1827.0,2487.0,3821.0,0.235,0.556,0.006,0.083,0.219,0.765,0.05,0.07
159,1705.0,61,6,57,115,16,47,50,20,4,376,408,196,877.0,996.0,1605.0,0.209,0.657,0.002,0.061,0.205,0.792,0.03,0.042
160,1706.0,196,16,138,266,45,70,171,34,5,941,595,384,1336.0,1169.0,1720.0,0.277,0.463,0.0,0.163,0.162,0.722,0.035,0.062
161,1707.0,66,5,60,128,23,50,47,34,6,419,329,187,728.0,1100.0,1745.0,0.05,0.833,0.0,0.026,0.084,0.95,0.064,0.027
