,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
55,1205,910.0,390.0,16.0,13.0,2.0,20.0,26.0,16.0,9.0,23.0,20.0,24.0,24.0,15.0,8.0,5.0,1.0,520.0,21.0,43.0,17.0,33.0,7.0
56,1301,2418.0,1067.0,45.0,20.0,42.0,93.0,104.0,54.0,24.0,39.0,41.0,112.0,44.0,7.0,12.0,0.0,2.0,1351.0,81.0,101.0,90.0,75.0,54.0
57,1306,1940.0,930.0,31.0,4.0,25.0,70.0,82.0,123.0,53.0,66.0,66.0,57.0,62.0,16.0,11.0,3.0,4.0,1008.0,63.0,82.0,53.0,19.0,30.0
58,1308,2167.0,1112.0,9.0,0.0,11.0,140.0,115.0,113.0,104.0,127.0,47.0,47.0,44.0,11.0,9.0,1.0,11.0,1054.0,106.0,59.0,40.0,31.0,7.0
59,1304,2074.0,1038.0,31.0,10.0,25.0,88.0,107.0,57.0,82.0,41.0,77.0,81.0,54.0,19.0,7.0,6.0,0.0,1036.0,62.0,68.0,74.0,33.0,38.0
60,1302,1048.0,487.0,18.0,9.0,20.0,46.0,51.0,25.0,16.0,18.0,18.0,52.0,19.0,3.0,5.0,0.0,0.0,562.0,31.0,39.0,35.0,28.0,24.0
61,1307,1496.0,800.0,6.0,1.0,6.0,95.0,105.0,76.0,78.0,78.0,38.0,43.0,38.0,15.0,6.0,0.0,8.0,695.0,66.0,39.0,26.0,19.0,8.0
62,1309,2365.0,1178.0,23.0,3.0,23.0,119.0,123.0,130.0,93.0,113.0,65.0,58.0,60.0,13.0,11.0,2.0,9.0,1188.0,98.0,78.0,57.0,29.0,21.0
63,1305,1718.0,872.0,24.0,3.0,17.0,68.0,80.0,83.0,76.0,48.0,75.0,52.0,56.0,20.0,5.0,5.0,1.0,846.0,54.0,60.0,54.0,13.0,25.0
64,1401,5344.0,2098.0,124.0,24.0,24.0,65.0,125.0,156.0,65.0,135.0,209.0,68.0,141.0,55.0,1.0,5.0,39.0,3245.0,322.0,283.0,281.0,168.0,86.0
65,1406,1816.0,783.0,35.0,20.0,7.0,16.0,81.0,55.0,47.0,49.0,57.0,51.0,28.0,0.0,9.0,11.0,3.0,1033.0,70.0,70.0,53.0,38.0,40.0
